Companies,Fields,Start Date,Duration,Stipend,Posted On,Apply By
IIT Bombay,Deep Learning,Immediately,6 Months,2000-4000 /month,26 Mar'20,23 Apr'20
Motilal Oswal,Data Analytics,20 Apr - 30 Apr'20,4 Months,1000 /month,20 Mar'20,17 Apr'20
UpGrad,Teaching (Business Analytics),Immediately,6 Months,15000 /month,15 Mar'20,13 Apr'20
Shyena Tech Yarns Private Limited,Data Science,Immediately,4 Months,1000 /month,8 Apr'20,6 May'20
TechnoYantra,Machine Learning,Immediately,3 Months,5000-10000 /month,8 Apr'20,6 May'20
Uttam Blastech Pvt. Ltd.,Machine Learning,11 May - 18 May'20,2 Months,10000 lump-Sum,7 Apr'20,5 May'20
Predicon.io,Data Analytics,Immediately,6 Months,10000-20000 /month,7 Apr'20,5 May'20
NULL Innovation Private Limited,Data Analytics,Immediately,4 Months,3000 /month,7 Apr'20,5 May'20
Quesite Services Private Limited,Machine Learning,Immediately,4 Weeks,2000 /month +  Incentives,7 Apr'20,5 May'20
Bhigusa Health Care,Product Management,Immediately,2 Months,10000 /month,7 Apr'20,5 May'20
Analyticscosm,Data Analytics,Immediately,1 Month,10000 /month,6 Apr'20,4 May'20
Challenge Katta,Machine Learning,15 May - 24 Jun'20,2 Months,5000 /month,6 Apr'20,4 May'20
Kangaroo Rooms,Machine Learning,Immediately,1 Month,5000 /month,6 Apr'20,4 May'20
MedTourEasy,Business Analytics,Immediately,2 Months,1000 /month,6 Apr'20,25 May'20
Challenge Katta,Data Science,Immediately,2 Months,5000 /month,5 Apr'20,3 May'20
360DigiTMG,Data Science,Immediately,2 Weeks,2000 lump-Sum +  Incentives,3 Apr'20,1 May'20
Prutha Technologies Private Limited,Business Analytics,Immediately,2 Months,6000 /month,3 Apr'20,1 May'20
HR Ocuos,Business Analytics,Immediately,6 Months,1150 /month +  Incentives,3 Apr'20,1 May'20
Skill Hives,Web Development,Immediately,2 Months,2000-7000 /month,3 Apr'20,1 May'20
Stirring Minds,Business Analytics,Immediately,2 Months,5000-10000 /month,2 Apr'20,30 Apr'20
LineupX,Machine Learning,Immediately,3 Months,5000-10000 /month,2 Apr'20,30 Apr'20
Intel Index,Machine Learning,Immediately,4 Months,20000 lump-Sum,1 Apr'20,29 Apr'20
AutomizeApps,Flask Application Development,Immediately,3 Months,2000 /month +  Incentives,1 Apr'20,29 Apr'20
Neolen,Machine Learning,Immediately,3 Months,2000 /month,31 Mar'20,28 Apr'20
CogniAble,Machine Learning,Immediately,4 Months,4000 /month,31 Mar'20,28 Apr'20
ShootMe.in,Customer Service Analytics,Immediately,3 Months,3000 lump-Sum,30 Mar'20,27 Apr'20
UFC Food LLP,Data Analytics Using R Programming,Immediately,2 Months,1000 /month,30 Mar'20,27 Apr'20
SkillBit,Machine Learning,Immediately,2 Months,3000 /month,30 Mar'20,27 Apr'20
Nion Technologies,Machine Learning & Computer Vision,Immediately,1 Month,5000 /month,28 Mar'20,25 Apr'20
Xovex IT International,Artificial Neural Networks,Immediately,2 Months,    Unpaid,27 Mar'20,24 Apr'20
Frontlobe Insights,Environment Management & Analytics,Immediately,3 Months,5000 lump-Sum,27 Mar'20,24 Apr'20
FinThink Academy,Stock Market Analysis (Technical & Fundamental),Immediately,2 Months,2500 /month,27 Mar'20,11 Apr'20
TransWeb Global Incorporation,Machine Learning,Immediately,6 Months,10000-20000 /month,27 Mar'20,11 Apr'20
InventGrid India Private Limited,Artificial Intelligence/Machine Learning (Image Processing),Immediately,4 Months,5000-10000 /month,26 Mar'20,9 Apr'20
GoOffer Hyperlocal Private Limited,Research Analytics,Immediately,1 Month,5000 /month,26 Mar'20,23 Apr'20
SJTech Solutions,Machine Learning,Immediately,3 Months,8000-12000 /month,26 Mar'20,24 Apr'20
SkillBit,Data Science,Immediately,2 Months,5000 /month,26 Mar'20,24 Apr'20
ShootMe.in,B2B Alliance Analytics,Immediately,3 Months,5000 /month +  Incentives,25 Mar'20,23 Apr'20
SkillAngels,Data Analytics,Immediately,6 Months,5000 /month,25 Mar'20,23 Apr'20
Plan My Health,Financial Analytics,Immediately,3 Months,3000 /month,24 Mar'20,12 May'20
